NAME CHARGE MASS    GHOST
A    0        0.000 
Q    0        0.000   1
H    1        1.008
He   2        4.002
Li   3        6.941
Be   4        9.012
B    5       10.81
C    6       12.011
N    7       14.007
O    8       15.999
Oq   8       15.999   1
F    9       18.998
Ne   10      20.179
Na   11      22.990
Mg   12      24.305
Al   13      26.982
Si   14      28.086
P    15      30.974
Pq   15      30.974   1
S    16      32.066
Cl   17      35.453
Ar   18      39.948
K    19      39.098
Ca   20      40.078
Sc   21      44.956
Ti   22      47.867
V    23      50.942
Cr   24      51.996
Mn   25      54.938
Fe   26      55.847
Co   27      58.933
Ni   28      58.693
Cu   29      63.546
Zn   30      65.38
Ga   31      69.723
Ge   32      72.630
As   33      74.922
Se   34      78.971
Br   35      79.904
Kr   36      83.798
Sr   38      87.62
Y    39      88.906
Yq   39      88.906   1
Ag   47     107.868
In   49     114.818
I    53     126.904
Cs   55     132.905
Ce   58     140.116
Pr   59     140.908
Yb   70     173.045
Ra   88     226.025
